Name,Notes,Lat,Long,x,y
Norcia,,42.79431199980197,13.09649699985955,1457895.3772,5280716.256399997
Jesi,,43.52252199973747,13.24352999995112,1474263.015900001,5391846.253700003
Camerino,,43.140503000227106,13.068908999967388,1454824.2950999998,5333382.3473000005
Assisi,,43.070312999773854,12.617492999571544,1404572.8957999982,5322680.3336
Chiusi,,43.0170900001192,11.948486000264495,1330099.3773000017,5314573.4811
Haguenau,,48.820496000132515,7.791504000056122,867346.2578000017,6244458.025700003
Neuburg am Rhein,,48.98651100006008,8.252075000108674,918616.7870000005,6272572.902800001
Sélestat, ,48.25970500025818,7.4561159998600575,830011.0364000015,6150169.758900002
Neuenburg,,47.81372099971667,7.558716000260791,841432.4162000008,6075920.407700002
Thann,,47.812317000278895,7.099486999699371,790311.2776999995,6075687.674500003
Rouffach,,47.957091999909174,7.2994999995912595,812576.6229999997,6099719.4388
Villingen,,48.05548100007556,8.460082999741013,941772.1316,6116089.864600003
Celje,,46.23107900024652,15.260314999596158,1698770.495099999,5817457.435900003
Koprivnica,,46.16272000022909,16.832091999770622,1873739.9103999995,5806463.668399997
Székesfehérvár, ,47.1887209998008,18.413878999919568,2049823.6338,5972932.729999997
Szemenye,,47.10192900002994,16.91491700044477,1882959.9472999983,5958727.3785
Potenza,,40.63732900021702,15.802307000009124,1759104.7685999982,4958994.054499999
Zemun,,44.8361210001854,20.411498999933414,2272197.6750000007,5595758.8825
Cerevic,,45.211914000255526,19.67388899996957,2190087.305399999,5654944.932800002
Vrbas,,45.57171600013037,19.63928200013024,2186234.8718000017,5711980.041199997
Tordinci,,45.369872999959114,18.79528800024321,2092281.8894999996,5679939.589100003
Ilok,,45.22210700004939,19.379088999842526,2157270.3194999993,5656555.7245000005
Otok,,45.15008500021945,18.883484000153356,2102099.8233000003,5645180.325300001
Bijeljina,,44.76232899973997,19.207274999763094,2138144.0725000016,5584182.335100003
Modrica,,44.95672599998123,18.298522999739454,2036982.262600001,5614711.451300003
Podnovlje,,44.93792700016266,18.1414789998485,2019500.204500001,5611754.6504999995
Bukovica,,45.284912000222334,17.437683000228848,1941153.9921999983,5666487.1272
Usora,,44.71887200011807,18.083922999957164,2013093.0998999998,5577371.683899999
Dakovo,,45.30810500003711,18.408080999988023,2049178.203400001,5670157.433499999
Kovin,,44.75109899999792,20.987488000090387,2336316.4772000015,5582421.860799998
Korczyna,,49.712280000235154,21.25207499999588,2365770.167300001,6396596.1054000035
Lwów, ,49.83007800017185,24.00012199985229,2671681.3599999994,6416900.182800002
Szatmar, ,47.798095999929195,22.88952599982577,2548050.378800001,6073330.692699999
Spiš, ,48.94390899986594,20.57012899971298,2289856.285799999,6265349.278499998
Szécsény, ,48.081116000178845,19.51971399990719,2172924.6229000017,6120360.271899998
Eger,,47.90332000018877,20.373107999673305,2267924.0084000006,6090785.772399999
Sarospatak, ,48.31909200012774,21.566284000151594,2400747.7531999983,6160105.503799997
Szeged,,46.253295999702814,20.14550799971416,2242587.6922999993,5821033.4102
Našice, ,45.49072299992307,18.093079000337138,2014112.3412000015,5699109.466300003
Baç, ,48.004272000025026,17.377686000131163,1934475.1567000002,6107565.572899997
Ptuj,,46.42010500009208,15.870117000272417,1766653.3432999998,5847928.830499999
Ljubovija,,44.19732700027402,19.391907000444508,2158697.2128,5496029.944799997
Bosanska Krupa,,44.88268999975613,16.16308600028844,1799266.5031999983,5603072.2951000035
Kostajnica,,45.22509800025145,16.55468799998638,1842859.4384000003,5657028.444700003
Modrus,,45.12872300027203,15.241088999865598,1696630.2666000016,5641809.1032000035
Pag,,44.4464720001867,15.05511499969299,1675927.7355999984,5534796.733199999
Rab,,44.754700000070706,14.761902000177818,1643287.4138000011,5582986.3354
Cres,,44.96008300005079,14.409485000060068,1604056.5328000002,5615239.559
Pula,,44.869689999756524,13.841124999945661,1540786.9869999997,5601030.1193
Krk,,45.02630599974626,14.573485999973954,1622313.0406000018,5625663.7786
Pirano,,45.5333249997037,13.566711000363796,1510239.3603000008,5705877.027500004
Muggia,,45.60430900025857,13.767516999750821,1532592.981899999,5717164.622400001
Capo d'Istria, ,45.546691999720835,13.730713000102584,1528495.9794000015,5708001.505199999
Lasva,,44.13610799982981,17.92907699970002,1995855.7219999991,5486529.426200002
Greben,,45.757506999724264,15.248717999908132,1697479.5229999982,5741574.338299997
Krbava,,44.61309799989823,15.671508999620869,1744544.4017999992,5560815.957800001
Pasman, ,43.95611600026568,15.387328999563668,1712909.628899999,5458653.5429000035
Glamoc,,44.04730199989741,16.85107400000207,1875852.9770000018,5472765.197099999
Skradin,,43.8178709996962,15.923096000247833,1772550.9386,5437300.424800001
Šibenik, ,43.733704000236706,15.89587400005356,1769520.5993999988,5424324.321400002
Olovo,,44.12890600021151,18.60491899972959,2071090.1092999987,5485412.402500004
Herceg Novi,,42.455505000117874,18.536681999669078,2063494.0012000017,5229457.994000003
Cetinje,,42.390930000080665,18.914124000172162,2105510.6525,5219719.939199999
Shkoder,,42.25128199978624,19.77349900016793,2201175.839899998,5198694.906400003
Hainberg,,48.13732900026671,15.410522000013112,1715491.4618999995,6129731.9717999995
Stein,,48.51470899990658,13.951720999911782,1553098.4774000011,6192915.264700003
