Name,Founded,Comment,Lat,Long,x,y
Durres,1251-1300, ,41.327572554372495,19.45314880591287,2165514.6193999983,5060779.2700999975
Utrecht,pre-1250, ,52.135792000006674,5.191129999625514,577873.9481999986,6824715.728600003
The Hague,1401-1500, ,52.075995999749075,4.280995999927752,476558.2947999984,6813878.187100001
Kilkenny,pre-1250, ,52.65381793580331,-7.247648125684286,-806804.4987999983,6919218.572800003
Zwolle,1401-1500, ,52.51045568019334,6.099179120939927,678957.5139999986,6892953.900600001
Rotterdam,1401-1500, ,51.926001999816776,4.484999000104748,499267.80490000173,6786756.7097999975
Antwerpen,pre-1250, ,51.27947799972634,4.775374999578419,531592.3132999986,6670879.835699998
Leuven,pre-1250, ,50.87799700007728,4.703995999877856,523646.43939999864,6599741.112599999
Brussels,1401-1500, ,50.837002000102814,4.367999000309664,486243.42449999973,6592511.752400003
Groningen,1301-1400, ,53.18959300016874,6.8736979997597665,765176.5612000003,7018144.7836000025
Zutphen,1251-1300, ,52.13899599976049,6.206996000216632,690959.6341000013,6825296.838100001
Nijmegen,1251-1300, ,51.822996999906145,5.858002999771195,652109.9109999985,6768184.099299997
Maastricht,1251-1300, ,50.84946121852207,5.68362958446296,632698.7512000017,6594708.230599999
Liège,pre-1250, ,50.64188417187648,5.572407508151155,620317.566300001,6558189.989299998
Argentan,1251-1300, ,48.748003000027,-0.024001000013218702,-2671.7791000008583,6232210.444200002
Morlaix,pre-1250, ,48.579000999980934,-3.8390020000506757,-427355.7478,6203726.2535
Dinan,pre-1250, ,48.4620009998614,-2.0509990000223244,-228316.16429999843,6184062.406999998
Laval,1401-1500, ,48.07099599981867,-0.7729990003259872,-86049.85509999841,6118674.177199997
Quimperlé,1251-1300, ,47.8690000002332,-3.5479960003901323,-394961.10810000077,6085088.707199998
Angers,pre-1250, ,47.46900400003878,-0.5319969996087878,-59221.63509999961,6018966.300899997
Guérande,1401-1500, ,47.32800099970555,-2.4229959998729904,-269726.68090000004,5995777.489200003
Fontenay-le-Comte,1251-1300, ,46.465000000222375,-0.798999999606307,-88944.27309999987,5855181.512199998
La Rochelle,pre-1250, ,46.164003999896885,-1.161996999610912,-129352.91429999843,5806670.040399998
Saintes,1301-1400, ,45.74300200013442,-0.6170020003734034,-68684.34849999845,5739260.3248
Pons,1251-1300, ,45.579004000015516,-0.5430040001912605,-60446.92880000174,5713139.084899999
Saint-Sever,1251-1300, ,43.75899699998977,-0.5779959999950853,-64342.220400001854,5428221.8473000005
Orthez,1251-1300, ,43.492002999748564,-0.7729990003259872,-86049.85509999841,5387162.095399998
Bergerac,1251-1300, ,44.86000300014173,0.4840039998032031,53879.07880000025,5599508.684100002
Figeac,1251-1300, ,44.61099999994577,2.0279989999167407,225755.81599999964,5560487.884499997
Cahors,pre-1250, ,44.448001000097186,1.4400020001680263,160300.28940000013,5535035.1538999975
Rodez,1251-1300, ,44.35500399977012,2.5699970001774886,286090.7573999986,5520545.239600003
Agen,pre-1250, ,44.19199599980777,0.6320000001675559,70353.91820000112,5495202.239799999
Montauban,1251-1300, ,44.020996000066134,1.3410020000650296,149279.6598000005,5468691.937799998
Condom,1251-1300, ,43.96200100005157,0.37100000014100576,41299.531100001186,5459563.632399999
Lectoure,1251-1300, ,43.93899699982495,0.6230000003215282,69352.0428000018,5456006.676600002
Castres,1251-1300, ,43.603999000049036,2.2320020000937038,248465.32609999925,5404363.237099998
Saint-Gaudens,1251-1300, ,43.10899899993364,0.7229989997839908,80483.88049999997,5328577.349699996
Bagneres,1301-1400, ,43.06499800010077,0.14500100013909997,16141.4375,5321870.4441
Saint-Girons,1301-1400, ,42.9859959999621,1.1479970002496866,127794.44150000066,5309840.538199998
Revel,1301-1400, ,43.459999000148684,2.0060030000918316,223307.2325000018,5382252.556299999
Carcassonne,pre-1250, ,43.2099970001627,2.3419999996600236,260710.2474000007,5343990.3510000035
Pamiers,1251-1300, ,43.11400299998988,1.6159970003282575,179891.96319999918,5329340.3957
Limoux,1301-1400, ,43.052001999810386,2.2120039998860563,246239.15890000015,5319890.434100002
Valence,pre-1250, ,44.95100200009191,4.8269989996439095,537339.070700001,5613811.049400002
Die,1251-1300, ,44.760003999822864,5.366999000287396,597451.5958000012,5583817.8276999965
Aubenas,1251-1300, ,44.62399600009861,4.379996000030783,487578.92440000176,5562520.315800004
Marvejols,1251-1300, ,44.55400299997675,3.287998999921023,366018.374400001,5551579.547799997
Alès,1251-1300, ,44.131002999774104,4.076002999713846,453738.57840000093,5485737.631200001
Millau,1251-1300, ,44.10400300017418,3.0760040003766482,342419.19900000095,5481551.018799998
Orange,1251-1300, ,44.0950029997437,4.879001000001144,543127.9068999998,5480155.906199999
Avingon,pre-1250, ,43.95100299985913,4.792996999877028,533553.9853999987,5457862.912900001
Nîmes,1251-1300, ,43.84599999976519,4.357000999948044,485019.13269999996,5441641.175399996
Arles,pre-1250, ,43.689004000046125,4.6250030002033595,514852.97890000045,5417440.295999996
Aix-en-Provence,1251-1300, ,43.53399700008816,5.441995999829037,605800.2236000001,5393608.088100001
Béziers,pre-1250, ,43.35100000000749,3.2130020003793476,357669.7465999983,5365551.148599997
Perpignan,pre-1250, ,42.70000299997924,2.884997000178567,321156.3969999999,5266420.151500002
Gap,1301-1400, ,44.567998000210466,6.075001999927073,676266.1292000003,5553766.0852999985
Barcelonnette,1301-1400, ,44.39300199990507,6.642002000108641,739384.2804999985,5526462.946699999
Sisteron,pre-1250, ,44.202003999911376,5.932000999953371,660347.3306999989,5496756.1696000025
