monastery_name,notes,lat,lon,x,y
Cervia,,44.274004,12.348002,1374573.295,5507943.31
Cesena,,44.137996,12.248003,1363441.457,5486822.276
Rimini,,44.067004,12.574001,1399731.389,5475817.068
Pesaro,,43.912996,12.910997,1437245.612,5451987.971
Senigallia,,43.716004,13.208996,1470418.709,5421597.818
Fossombrone,,43.693,12.803996,1425334.315,5418055.491
Urbania,,43.672003,12.514997,1393163.093,5414823.403
Cortona,,43.273996,11.974997,1333050.568,5353770.259
Asciano,,43.234999,11.552996,1286073.632,5347809.77
Montepulciano,,43.097002,11.779004,1311232.727,5326748.215
Città della Pieve, ,42.954001,12.006002,1336502.029,5304972.949
Marsciano,,42.910999,12.333998,1373014.377,5298434.784
Montefiascone,,42.541,12.026,1338728.196,5242366.293
Montalto di Castro, ,42.352999,11.599004,1291195.219,5214004.53
Civita Castellana,,42.289,12.407996,1381251.797,5204369.031
Tarquinia,,42.252001,11.748998,1307892.475,5198803.038
Fabriano,,43.329004,12.907001,1436800.779,5362184.444
Macerata,,43.298998,13.440998,1496245.053,5357593.694
Matelica,,43.261,13.007,1447932.617,5351783.464
Nocera Umbra,,43.111996,12.783998,1423108.148,5329034.346
Amandola,,42.976996,13.351997,1486337.507,5308471.059
Terni,,42.548002,12.657998,1409081.892,5243424.259
Pinerolo,,44.891998,7.320998,814969.7695,5604534.777
Cortemilia,,44.583001,8.188004,911484.4359,5556110.694
Fossano,,44.556001,7.715999,858941.0796,5551891.677
Cuneo,,44.388997,7.536998,839014.7795,5525839.038
Ventimiglia,,43.794997,7.659002,852596.2026,5433772.111
Tortona,,44.904004,8.858,986068.0494,5606421.52
Carpi,,44.785996,10.881002,1211267.602,5587893.62
Bobbio,,44.772001,9.388001,1045067.491,5585698.843
Acqui,,44.680003,8.467004,942542.5738,5571284.404
Modena,,44.650996,10.925003,1216165.771,5566744.274
Savona,,44.314,8.470001,942876.1983,5514163.689
Chiavari,,44.314,9.344999,1040280.53,5514163.689
Massa,,44.046997,10.136999,1128445.567,5472717.96
Pistoia,,43.935001,10.916003,1215163.896,5455388.942
Prato,,43.885996,11.095004,1235090.196,5447816.718
Colle di Val d'Elsa, ,43.428004,11.124002,1238318.238,5377346.995
Volterra,,43.403002,10.858997,1208818.017,5373515.424
Piombino,,42.937,10.530002,1172194.461,5302387.515
Grosseto,,42.766999,11.106002,1236314.487,5276573.697
San Giovanni in Fiore,,39.254002,16.697999,1858812.746,4758120.763
Caltagirone,,37.233997,14.517002,1616025.271,4471773.334
Ragusa,,36.925999,14.732003,1639959.072,4428797.016
Cefalu,,38.037004,14.021003,1560810.914,4584654.557
Termini Imerese,,37.990996,13.701998,1525299.44,4578153.928
Salemi,,37.819996,12.805004,1425446.525,4554028.4
Monte Leone,,46.245682,8.035894496,894551.6834,5819807.724
Corleone,,37.809997,13.302002,1480772.089,4552619.423
Marsala,,37.800997,12.433997,1384146.215,4551351.381
Mazara Del Vallo,,37.657996,12.592001,1401735.139,4531224.141
Licata,,37.103002,13.936997,1551459.409,4453473.679
Popoli,,42.169003,13.823003,1538769.655,5186328.988
Carsoli,,42.098002,13.079,1455947.62,5175670.992
Sulmona,,42.046,13.925,1550123.909,5167872.513
Avezzano,,42.028999,13.421999,1494130.094,5165324.344
Subiaco,,41.926003,13.090997,1457283.12,5149901.489
Sora,,41.693002,13.577996,1511495.601,5115102.99
Arpino,,41.650999,13.606004,1514613.437,5108843.306
Ceprano,,41.552998,13.510001,1503926.432,5094254.124
Sezze,,41.502004,13.055996,1453386.826,5086671.514
Cassino,,41.491996,13.826999,1539214.488,5085184.065
Venafro,,41.489998,14.034998,1562368.831,5084887.137
Priverno,,41.477002,13.176002,1466745.833,5082955.996
Fondi,,41.354998,13.423997,1494352.51,5064845.645
