name,founded,comment,lat,lon,x,y,start_century
Marburg An Der Lahn,1251-1300, ,50.800003,8.768,976049.2953,6585992.527,1200
Speyer,1251-1300, ,49.312996,8.435999,939091.113,6328138.11,1200
Nuremberg,1251-1300, ,49.445998,11.063999,1231638.735,6350879.56,1200
Pforzheim,1251-1300, ,48.892003,8.701004,968591.3347,6256556.39,1200
Schwabisch Gmund,1251-1300, ,48.798997,9.795998,1090485.509,6240823.957,1200
Ulm,1251-1300, ,48.4,9.965999,1109409.934,6173660.452,1200
Plauen,1251-1300, ,50.498998,12.135998,1350973.118,6533146.211,1200
Landshut,1251-1300, ,48.543001,12.150002,1352532.036,6197671,1200
Wiener Neustadt,1251-1300, ,47.816998,16.238,1807605.892,6076463.642,1200
Leoben,1251-1300, ,47.375998,15.091004,1679922.881,6003663.928,1200
Stralsund,1251-1300, ,54.311002,13.075004,1455502.787,7229277.766,1200
Rostock,1251-1300, ,54.095002,12.087002,1345518.908,7188169.106,1200
Greifswald,1251-1300, ,54.089998,13.391003,1490679.635,7187219.296,1200
Wismar,1251-1300, ,53.893996,11.460998,1275832.461,7150105.912,1200
Prenzlau,1251-1300, ,53.325997,13.864997,1543444.406,7043527.673,1200
Strausberg,1251-1300, ,52.578997,13.899998,1547340.699,6905500.292,1200
Berlin,1251-1300, ,52.524799,13.392821,1490882.014,6895577.805,1200
Brandenburg,1251-1300, ,52.414999,12.536003,1395501.47,6875513.25,1200
Halle Saale,1251-1300, ,51.479998,11.969003,1332383.319,6706643.064,1200
Jena,1251-1300, ,50.916004,11.583002,1289413.885,6606449.23,1200
Luckau,1251-1300, ,51.862003,13.754,1531088.276,6775212.184,1200
Lübben,1251-1300, ,51.9414011,13.89782001,1547098.247,6789536.949,1200
Pirna,1251-1300, ,50.959996,13.934,1551125.785,6614220.527,1200
Rottweil,1251-1300, ,48.1654,8.6278,960442.3027,6134415.745,1200
Cágliari,1251-1300, ,39.224997,9.108999,1014009.13,4753951.898,1200
Geneva,1251-1300, ,46.202004,6.134004,682834.2018,5812779.807,1200
Zurich,1251-1300, ,47.401002,8.533998,950000.3118,6007775.206,1200
Wissembourg,1251-1300, ,49.0337,7.9467,884622.5975,6280581.515,1200
Bern,1251-1300, ,46.869352,7.595237,845497.9153,5920775.005,1200
Rieux,1251-1300, ,43.25708,1.19928,133503.2389,5351184.268,1200
Haguenau,1251-1300, ,48.820496,7.791504,867346.2578,6244458.026,1200
Sélestat,1251-1300, ,48.259705,7.456116,830011.0364,6150169.759,1200
's-Hertogenbosch,1251-1300, ,51.68927,5.304321,590474.3127,6744135.314,1200
Saint-Emilion,1251-1300, ,44.896118,-0.155396,-17298.6036,5605182.19,1200
Saint-Jean-d'Angély,1251-1300, ,45.946289,-0.529297,-58921.0725,5771746.169,1200
Zierikzee,1251-1300, ,51.652893,3.924072,436825.6969,6737605.755,1200
Provins,1251-1300, ,48.559326,3.30249,367631.5051,6200416.355,1200
Ypres,1251-1300, ,50.851318,2.884277,321076.2469,6595035.619,1200
Morlaas,1251-1300, ,43.344727,-0.263611,-29345.0423,5364590.88,1200
Guingamp,1251-1300, ,48.560303,-3.144409,-350034.0087,6200580.684,1200
Mainz,1251-1300, ,49.995117,8.267517,920335.7826,6445430.234,1200
Saint Andrews,1251-1300, ,56.33901948,-2.798908523,-311573.0716,7626203.004,1200
Kingshorn,1251-1300, ,56.07340879,-3.172055809,-353111.6374,7573043.171,1200
Derry,1251-1300, ,54.99753311,-7.320323969,-814894.7367,7361387.355,1200
Bamburgh,1251-1300, ,55.60660431,-1.71691824,-191126.4642,7480497.002,1200
Cavan,1251-1300, ,53.99442005,-7.360690624,-819388.3322,7169099.588,1200
Sligo,1251-1300, ,54.27099995,-8.471657748,-943060.6267,7221648.424,1200
Trim,1251-1300, ,53.55485522,-6.790641438,-755930.747,7086297.932,1200
Roscommon,1251-1300, ,53.62794257,-8.188303344,-911517.7587,7100005.608,1200
Athy,1251-1300, ,52.991967,-6.986982,-777787.2784,6981512.171,1200
Kilmallock,1251-1300, ,52.398895,-8.573311,-954376.6149,6872574.652,1200
Hartlepool,1251-1300, ,54.682492,-1.216696999,-135442.0904,7300486.536,1200
Youghal,1251-1300, ,51.9553616,-7.851445736,-874018.9413,6792058.28,1200
Lancaster,1251-1300, ,54.05083045,-2.800528538,-311753.4108,7179788.856,1200
Arklow,1251-1300, ,52.79635785,-6.157194205,-685415.7236,6945418.11,1200
Yarm,1251-1300, ,54.50417416,-1.35418325,-150746.9898,7266225.037,1200
Wigtown,1251-1300, ,54.86766084,-4.443999253,-494703.7339,7336224.028,1200
Scarborough,1251-1300, ,54.28438502,-0.394142677,-43875.7621,7224200.451,1200
Pontefract,1251-1300, ,53.69324308,-1.305262713,-145301.1806,7112272.94,1200
Boston,1251-1300, ,52.9775292,-0.02422524,-2696.7414,6978842.512,1200
Rhuddlan,1251-1300, ,53.29175618,-3.465225936,-385747.1867,7037148.317,1200
Bangor,1251-1300, ,53.22780118,-4.13420176,-460217.2348,7025246.638,1200
Newcastle-under-Lyme,1251-1300, ,53.01120025,-2.229687115,-248207.6343,6985069.932,1200
Leicester,1251-1300, ,52.63499859,-1.128495213,-125623.5125,6915765.873,1200
Brecon,1251-1300, ,51.94720533,-3.39154068,-377544.5815,6790585.124,1200
Illchester,1251-1300, ,51.00226185,-2.682967008,-298666.5212,6621693.827,1200
Truro,1251-1300, ,50.2627479,-5.050369257,-562204.534,6491904.106,1200
Guildford,1251-1300, ,51.23636734,-0.570323906,-63488.1668,6663211.352,1200
Chichester,1251-1300, ,50.83667403,-0.780073184,-86837.3496,6592453.942,1200
Arundel,1251-1300, ,50.85550327,-0.559493145,-62282.492,6595773.616,1200
Ipswich,1251-1300, ,52.05928896,1.15564145,128645.4178,6810852.767,1200
Dunwich,1251-1300, ,52.2773326,1.631771932,181648.0206,6850426.921,1200
Great Yarmouth,1251-1300, ,52.60756056,1.73302078,192918.9908,6910734.602,1200
Chelmsford,1251-1300, ,51.73581408,0.469707467,52287.5961,6752497.488,1200
Dunstable,1251-1300, ,51.88761676,-0.523134508,-58235.067,6779830.575,1200
